domain,estimand,detection_profile,action_delay_fraction,residual_contact_multiplier,system_family,effect,source_artifact,observation_profile,method,rewiring_fraction,epidemic_model,disease_regime,mapping,contrast,endpoint
delivery,history_plus_tracing_over_history,early_detection,0.1,0.0,oxford_wildbird_network,-0.0058823529411764,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.25,oxford_wildbird_network,-0.0014705882352941,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.5,oxford_wildbird_network,-0.0014705882352941,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.0,radolfzell_great_tits_ontogeny,0.0004861778192216,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.25,radolfzell_great_tits_ontogeny,-0.0002668447682568,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.0,0.5,radolfzell_great_tits_ontogeny,-0.0006321045085166,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.0,radolfzell_great_tits_ontogeny,5.432896632013221e-05,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.25,radolfzell_great_tits_ontogeny,-0.0005888483460744,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,delayed_detection,0.1,0.5,radolfzell_great_tits_ontogeny,-0.0005694927017187,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.0,radolfzell_great_tits_ontogeny,0.0103833216505379,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.25,radolfzell_great_tits_ontogeny,0.0102310827862751,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.0,0.5,radolfzell_great_tits_ontogeny,0.0031240220710061,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.0,radolfzell_great_tits_ontogeny,0.0020438044538669,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.25,radolfzell_great_tits_ontogeny,0.002196315484518,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_plus_tracing_over_history,early_detection,0.1,0.5,radolfzell_great_tits_ontogeny,0.0006608970453271,results/EXP-20260816-017/full/relative_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.0,domestic_sheep_sirtrack,0.009375,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.25,domestic_sheep_sirtrack,0.0104166666666666,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.0,0.5,domestic_sheep_sirtrack,0.0072916666666666,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.0,domestic_sheep_sirtrack,0.0072916666666666,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.25,domestic_sheep_sirtrack,0.0072916666666666,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
delivery,history_policy_over_no_action,delayed_detection,0.1,0.5,domestic_sheep_sirtrack,0.0052083333333333,results/EXP-20260816-017/full/absolute_family_summary.csv,,,,,,,,
